effect,term,estimate,std.error,statistic,domain
fixed,Urbanicity2,-0.0100532578904792,0.00738942886067204,-1.36049187021538,Work
fixed,Urbanicity3,-0.0316606727115387,0.00770099127113709,-4.11124640930333,Work
fixed,Urbanicity6,-0.0460320220354401,0.00951116303899978,-4.83978897708823,Work
fixed,CountryIncomeLevel20252,-0.133230851165818,0.0495389102396729,-2.68941828799296,Work
fixed,CountryIncomeLevel20253,-0.250398982881686,0.049829468213013,-5.02511850640811,Work
fixed,CountryIncomeLevel20254,-0.399037032822392,0.0479065372769294,-8.32949020121642,Work
fixed,(Intercept),1.74280475398338,0.0498570998305303,34.9559994445598,Mental Health Issues
fixed,harm,0.461380548623379,0.0134881818355863,34.2062817841099,Mental Health Issues
fixed,Gender2,0.121551028134903,0.00397195416045409,30.6023240008911,Mental Health Issues
fixed,AgeGroups52,0.0144858841373309,0.00619987892905196,2.33647855112971,Mental Health Issues
fixed,AgeGroups53,0.00629511370414509,0.00593518209830195,1.0606437342413,Mental Health Issues
fixed,AgeGroups54,0.0320460293768167,0.0064584789681515,4.96185394964422,Mental Health Issues
fixed,AgeGroups55,0.0823871757362238,0.00730240467623283,11.2821980414711,Mental Health Issues
fixed,Education2,-0.0237096444657154,0.00513653023424701,-4.61588725938672,Mental Health Issues
fixed,Education3,-0.0824271345289973,0.00696409511785628,-11.8360150362752,Mental Health Issues
fixed,Urbanicity2,0.0131929236820779,0.00585207095985504,2.25440254784687,Mental Health Issues
fixed,Urbanicity3,0.00753897500964714,0.00612508639231533,1.23083570202466,Mental Health Issues
fixed,Urbanicity6,-0.00715833877602611,0.00763890139791156,-0.937090087061887,Mental Health Issues
fixed,CountryIncomeLevel20252,-0.0690086561676463,0.0570197993924847,-1.21025778594271,Mental Health Issues
fixed,CountryIncomeLevel20253,-0.1556573798121,0.0573436620951156,-2.71446528046835,Mental Health Issues
fixed,CountryIncomeLevel20254,-0.371236475995095,0.0549447728978658,-6.75653854617196,Mental Health Issues
fixed,(Intercept),1.43519325948415,0.0523535393542052,27.4134906099499,The Air You/They Breathe
fixed,harm,0.587220860521354,0.0174960706686536,33.5630137556219,The Air You/They Breathe
fixed,Gender2,0.0793978830474099,0.00378847521626368,20.9577411795014,The Air You/They Breathe
fixed,AgeGroups52,0.0335893356599946,0.00591427410568673,5.67936741851338,The Air You/They Breathe
fixed,AgeGroups53,0.0329094525799876,0.00566294891469335,5.81136313884083,The Air You/They Breathe
fixed,AgeGroups54,0.0574628774813976,0.00615925564848093,9.32951654565106,The Air You/They Breathe
fixed,AgeGroups55,0.0261167738385919,0.00694709727290513,3.75937932241885,The Air You/They Breathe
fixed,Education2,0.0362869314047074,0.00489567077095179,7.4120448662549,The Air You/They Breathe
fixed,Education3,0.0511250203206328,0.00664186509411684,7.69738915141739,The Air You/They Breathe
fixed,Urbanicity2,0.0473627259027516,0.00559022148435348,8.4724238628676,The Air You/They Breathe
fixed,Urbanicity3,0.1338264413222,0.00585316693452562,22.8639372188086,The Air You/They Breathe
fixed,Urbanicity6,0.109890253711468,0.00730319060232855,15.0468828892992,The Air You/They Breathe
fixed,CountryIncomeLevel20252,0.0022211349041214,0.0608133937853284,0.0365237781657446,The Air You/They Breathe
fixed,CountryIncomeLevel20253,0.0503718818869545,0.0610890591354352,0.824564702744553,The Air You/They Breathe
fixed,CountryIncomeLevel20254,-0.125164776832,0.05874596458829,-2.13061063358469,The Air You/They Breathe
fixed,(Intercept),2.00141721980001,0.055770873822156,35.8864239097668,Severe Weather Events
fixed,harm,0.43704171951243,0.0123617645955158,35.354315003779,Severe Weather Events
fixed,Gender2,0.137138966667937,0.00394499133649083,34.7628055350625,Severe Weather Events
fixed,AgeGroups52,0.0179778904466102,0.0061661089190891,2.91559728874625,Severe Weather Events
fixed,AgeGroups53,0.0396666414795322,0.00590454674430189,6.71798246288963,Severe Weather Events
fixed,AgeGroups54,0.0983498860786017,0.00641522476955245,15.3306999538635,Severe Weather Events
fixed,AgeGroups55,0.130339786621324,0.00723164314552731,18.0235368364294,Severe Weather Events
fixed,Education2,0.0124480442920444,0.0051041067099653,2.4388291623568,Severe Weather Events
fixed,Education3,-0.0262050982420173,0.00691853047897166,-3.78766825146839,Severe Weather Events
fixed,Urbanicity2,0.00706967395448744,0.00581456392560555,1.21585626109548,Severe Weather Events
fixed,Urbanicity3,-0.00583218002333646,0.00609007551193306,-0.957653154202889,Severe Weather Events
fixed,Urbanicity6,0.0105043207156829,0.00760272713918123,1.3816516788493,Severe Weather Events
fixed,CountryIncomeLevel20252,-0.11355706158316,0.0631725521156024,-1.79756963713222,Severe Weather Events
fixed,CountryIncomeLevel20253,-0.155097238840245,0.06346181280274,-2.4439459257544,Severe Weather Events
fixed,CountryIncomeLevel20254,-0.466097269343015,0.0610340868041212,-7.63667146915587,Severe Weather Events
fixed,(Intercept),2.00080573945472,0.0550911476080662,36.3180987567914,Severe Prolonged Weather Events
fixed,harm,0.455167445032284,0.0140482107939721,32.4003854802344,Severe Prolonged Weather Events
fixed,Gender2,0.106356816723042,0.00387653551494002,27.436048583367,Severe Prolonged Weather Events
